Chapter,Page,Content
Общежитие,Общежития в МГУ,"В МГУ общежития предоставляются иногородним студентам, зачисленным в МГУ на обучение по очной форме на бюджетные места, и имеющим постоянную регистрацию за пределами 5-ой зоны Московской железной дороги. Для студентов контрактной формы обучения, имеющих постоянную регистрацию за пределами 5-ой зоны Московской железной дороги, при наличии жилого фонда предоставляется общежитие с оплатой проживания по контракту.Стоимость общежития для студентов, обучающихся на бюджетных местах, составляет 120 рублей в месяц. Для аспирантов стоимость проживания составляет 200 рублей в месяц.Подробнее о правилах внутреннего распорядка в общежитии: https://drive.google.com/file/d/1vBBAhhNmhE1zcOLZ4ldzVoLE7mv_3o6_/view"
Общежитие,Как остаться в общежитии на летний период?,"Весной проводится сбор заявлений для желающих остаться в общежитии на лето. Необходимо написать заявление на имя начальника управления общежитиями с указанием причины, по которым вам необходимо остаться на лето в Москве (это могут быть работа в приёмной комиссии, на кафедре и т.д.). В летний период плата за общежитие происходит по контрактным расценкам. По бюджетным расценкам продливается общежитие для жителей приграничных регионов (Белгородская, Брянская, Курская, Херсонская, Запорожская области, Республика Крым, Луганская и Донецкая Народные Республики) и студентов, получающих государственную социальную стипендию."
Общежитие,Каков порядок приглашения гостей?,"Приглашение родственников (разрешен проход близких родственников: родителей, детей, супругов, братьев и сестер) и студентов и сотрудников МГУ:- Допускаются с 8:00 до 23:00 по заявке проживающего (необходимо получить временный пропуск в отделе пропусков).- Ответственность за гостей несет пригласивший."
Общежитие,"Что делать, если в комнате были замечены насекомые?",Можно оставить заявку на дезинсекцию у дежурного администратора. ДСЛ 1131ДС 228
Общежитие,Могут ли родители остаться на несколько дней?,"Да, если заявление об их оставлении как гостей будет согласовано с проректором. Для написания заявления необходимо обратиться в управление общежитиями."
Общежитие,В каких общежитиях проживают студенты физфака?,"Студенты 1 и 2 курсов проживают в Доме студента на Ломоносовском проспекте (ДСЛ), а перед 3 курсом переезжают в общежития в главном здании МГУ (ДС)."
Общежитие,В течение какого времени после отчисления или ухода в академический отпуск необходимо выселиться из общежития?,В течение двух недель.
Инфраструктура и другие вопросы,Как оформить пропуск на машину?,Кнопка в приложении (https://app.profcomff.com/apps/7) для оформления постоянного пропуска. Сайт для оформления временного пропуска (https://pass.msu.ru/)
Обучение,Какие предметы изучаются на физическом факультете?,"Первые два года обучения студенты проходят одинаковую программу. Мы изучаем различные разделы физики и математики, выполняем практикумы (лабораторные работы) и программируем, также изучаем иные предусмотренные учебным планом дисциплины.
На старших курсах изучаемые предметы зависят от выбранной кафедры. 
Актуальные рабочие планы всех курсов размещены на официальном сайте Физического факультета МГУ в соответствующем разделе:
https://www.phys.msu.ru/rus/students/working-plans/"
Обучение,Как получить зачёт по физической культуре?,"Для получения зачёта по физкультуре необходимо набрать 72 балла за семестр.
Посещение одного занятия даёт студенту 3 балла. Дополнительные баллы можно получить за участие в спортивных мероприятиях и соревнованиях.
Помимо занятий общей физической подготовкой студент может заниматься в центральных спортивных секциях. В центральные секции в начале года происходит отбор, поскольку студенты секций защищают честь МГУ на соревнованиях разных уровней. Условия зачёта устанавливаются каждой секцией индивидуально, требования могут отличаться в зависимости от вида спорта.
Как получить зачет? Наши рекомендации:

Регулярно посещайте занятия для стабильного набора баллов.
Уточняйте условия зачёта у преподавателя в начале семестра.
Участвуйте в спортивных мероприятиях для дополнительных баллов."
Обучение,Есть ли записи лекций и семинаров? Где их можно посмотреть?,"Да, у нас есть записи лекций и семинаров по основным предметам. Их можно посмотреть на сайте: https://teach-in.ru"
Стипендии и выплаты,Что такое стипендия для талантливых абитуриентов?,"Фонд Олега Дерипаска ""Вольное Дело"" утвердил стипендию для наиболее талантливых абитуриентов, поступающих на физический факультет МГУ. Стипендия составит 15 000 рублей ежемесячно в течение первого учебного года с возможностью продления.
 Вы можете претендовать на данную стипендию, если вы:
✅ являетесь победителем или призёром заключительного этапа всероссийской олимпиады школьников;
✅ являетесь победителем в олимпиаде из Перечня РСОШ I или II уровня;
✅ набрали 100 баллов на ЕГЭ по физике;
✅ имеете опыт участия в школьных научных исследованиях.
Стипендию можно будет продлить на второй год, если вы:

Станете призёром всероссийской студенческой олимпиады, студенческой олимпиады физического факультета МГУ, студенческого турнира физиков или получите статус победителя на студенческой конференции по физике.
Опубликуете статью в рецензируемом научном журнале.
Победите в конкурсе конспектов. 
Закроете две первых сессии на отлично."
Обучение,"Что делать, если потерял зачётную книжку?",Необходимо обратиться в учебную часть.
Инфраструктура и другие вопросы,Есть ли на физфаке медпункт?,"К сожалению на физическом факультете нет медпункта, но есть аптечка в кабинете Профкома."
Обучение,Когда у нас будут каникулы?,"1)        Зимние каникулы 
Даты: Обычно с 25 января по 7 февраля (после зимней сессии). 
Продолжительность: 2 недели 
2)        Летние каникулы 
Начало: После летней экзаменационной сессии (примерно с конца июня или начала июля). 
Окончание: Конец августа (начало нового учебного года)
Точные даты устанавливаются ежегодно приказом ректора МГУ и могут незначительно меняться. Каникулы начинаются строго после завершения экзаменационной сессии. Даты сессий также утверждаются ежегодно"
Профсоюз,Что такое Профсоюз?,"Профсоюзная организация студентов физического факультета МГУ имени М.В. Ломоносова — это единственная самостоятельная студенческая профсоюзная организация в МГУ, осуществляющая представительство и защиту индивидуальных и коллективных прав студентов и аспирантов. Мы активно участвуем в работе коллегиальных органов управления факультетом, ведём конструктивный диалог с администрацией и реализуем широкий спектр программ, направленных на повышение качества жизни обучающихся. 
Наша организация является частью Общероссийского профсоюза образования, что позволяет нам эффективно отстаивать интересы студентов на различных уровнях.
Основные цели Профсоюза — представительство и защита прав членов Профсоюза, обеспечение социальной и правовой защищенности обучающихся, а также реализация права на участие в управлении образовательным процессом. 
Мы работаем над 100 проектами, направленными на поддержку и развитие студентов, и строим свою деятельность на принципах независимости и инициативности. С момента основания в 1953 году Профсоюз стал незаменимым элементом студенческой жизни, стремясь создавать комфортные условия для обучения и всестороннего развития на факультете."
Профсоюз,Зачем вступать в Профсоюз?,"Социальная поддержка
Помощь в получении выплат по программе БДНС и дотаций студентам-контрактникам (1200 рублей в месяц) и разовой материальной помощи в различных ситуациях, включая свадьбу, рождение ребёнка или смерть близкого родственника, дорогостоящее лечение и иные.
Программы
Бесплатные или льготные билеты в театры Москвы (например, Московский государственный академический театр оперетты, Московскую консерваторию им. П.И. Чайковского), а также отдых в лагерях МГУ, таких как «Буревестник» на Чёрном море или «Красновидово» и «Университетский» в Подмосковье, до трёх раз за время обучения.
Мероприятия и досуг
Участие в культурно-массовых, спортивных и научных событиях, включая образовательные школы Студенческий лидер и Профучёба, Псевдонаучную конференцию, Спартакиаду Первокурсника, концерты, интеллектуальные игры, вечера настольных игр и многие другие мероприятия.
Сервисы для студентов
Сервис проката (портативные аккумуляторы, зарядные устройства, флешки, канцелярия, словари), бесплатная печать документов, буккроссинг, аптечка, помощь в оформлении автомобильных пропусков и печать дипломных работ.
Правовая защита
Консультации по вопросам стипендий, выплат и образовательного процесса, представление интересов студентов на комиссиях по отчислению, а также правовые ликбезы и информационные материалы для повышения грамотности.
Скидки у наших партнёров по карте Zachёt!
Членам профсоюза доступны скидки у партнёров из следующих категорий:

Питание — скидки в кафе, ресторанах и кофейнях;

Образование — льготы на языковые курсы, онлайн-платформы и учебные материалы;

Путешествия — специальные предложения на авиабилеты и железнодорожные перевозки;

Красота и здоровье — сниженные цены в салонах красоты, магазинах оптики и медицинских центрах;

Развлечения — льготные билеты в кинотеатры, антикафе и культурные мероприятия.

Актуальный список партнёров с детальными условиями и скидками доступен на сайте программы Zachёt!"
Обучение,Сколько длятся занятия?,"Количество пар в день зависит от расписания, которое публикуется на официальном сайте факультета и в нашем приложении в начале семестра.
Продолжить занятия - 1ч. 35 мин. (с учётом 5-минутного перерыва). Между парами есть перерывы 10-20 минут, а также часовой обеденный перерыв."
Обучение,Что такое ГП?,"Это группа ВКонтакте, где можно:
1. посмотреть примеры уже выполненных практикумов;
2. узнать о нюансах их выполнения;
3. разобраться в обработке данных.
Присоединяйтесь: https://vk.com/ff_help"
Обучение,Что такое «Дубинушка»?,«Дубинушка» — раздел приложения «Твой ФФ» от Профкома Физического факультета с отзывами о преподавателях.
Обучение,Как готовятся к практикумам?,"Прежде всего, рекомендуем начинать подготовку к практикумам заранее - это достаточно трудоёмкий и длительный процесс.
Порядок подготовки:

Перейдите в раздел ""Общий физический практикум"" на сайте кафедры общей физики Физического факультета МГУ: http://genphys.phys.msu.ru/rus/index.php
Выберите нужный курс и конкретный практикум (например: http://genphys.phys.msu.ru/rus/lab/mech/index.php)
Внимательно изучите методическое пособие к практикуму: 
Прочитайте весь теоретический материал;
Составьте конспект в тетради;
Убедитесь, что полностью разобрались в теории.
Изучите принцип работы с установкой:
     Определите, какие параметры нужно будет измерять;
     Подготовьте таблицы для записи результатов.
После полного освоения материала можно спокойно отдыхать."
Обучение,Как проходит практикум?,"1. Приходите в свою аудиторию (номер можно узнать из расписания,которое публикуется в первые недели учёбы).
2. Занимаете установку и получаете практикантские бланки.
3. Допуск к практикуму:
    Преподаватель, отвечающий за задачу, вызывает вас;
    Отвечаете на теоретические вопросы;
    Получаете допуск к выполнению работы.
4. Практическая часть:
     Инженер объясняет принцип работы установки;
     Выполняете задания из методического пособия;
     Проводите измерения;
     Записываете данные в соответствующие таблицы;
     Фиксируете дополнительные параметры (если требуются).
5. Завершение работы:
     Приведите установку в исходное состояние;
     Подойдите к преподавателю с тетрадью;
     Он проверит записи и поставит подпись под таблицами данных.
6. Вы свободны и можете приступать к сдаче до этого обработанных практикумов."
Обучение,Как проходят обработки практикумов и сдача результатов?,"Обработка практикумов
1. Подготовка к обработке
•        Необходимо запастись терпением, так как обработка данных требует внимательности и аккуратности.
•        Используйте заранее подготовленные формулы и задания из методички.
2. Основные этапы обработки
•        Расчёты и погрешности: Важно уметь считать погрешности и правильно применять формулы.
•        Построение графиков: Для автоматизации вычислений и построения графиков удобно использовать программы (Excel, Origin).
•        Фиксация данных: Все промежуточные расчёты и примеры подстановки чисел в формулы должны быть записаны в тетрадь, чтобы преподаватель видел ход ваших мыслей.
•        Оформление:
           1.     Графики распечатываются и вклеиваются в тетрадь. 
           2.     Числовые данные заносятся в таблицы.
           3.      Обязательно пишется вывод по результатам работы.

Сдача практикумов
1. Сроки сдачи
•        Обычно сдача проходит в день проведения практикума, но можно договориться с преподавателем о другом времени.
•        На сдачу даётся три недели с момента выполнения работы. Если за это время практикум не сдан, он считается просроченным, и студенту выдаётся новый (проводится в запасной день).
2.  Требования на сдаче
•        Необходимо полностью знать теорию (вывод формул, физические процессы) из методички.
•        Нужно понимать ход эксперимента и уметь объяснить полученные результаты.
•        Преподаватель может задавать дополнительные вопросы по теории и практике.
3.  Особенности сдачи
•        Уровень строгости и детализации вопросов зависит от преподавателя.
•        Важно показать не только правильность расчётов, но и понимание физической сути эксперимента."
Обучение,"Что делать, если пропустил практикум?","Если вы пропустили практикум, в первую очередь нужно написать куратору группы и сообщить об этом. Независимо от причины пропуска, выполнение задания переносится на резервный день.
Кроме резервных дней, существует дежурный практикум — он проходит после всех резервных сроков. На дежурном практикуме можно сдать уже выполненные задания, но приступить к новым нельзя.
Важно помнить, что все 12 заданий практикума должны быть сданы в течение семестра. Обязательно учитывайте резервные и дежурные дни при планировании своей работы."
Обучение,Обязательно ли ходить на пары?,"Посещение пар является обязательным, поскольку мы обучаемся на очном отделении. Преподаватели вправе подать докладную в учебную часть из-за пропуска занятий, и в случае систематических пропусков без уважительной причины студент может получить дисциплинарное взыскание."
Обучение,За что могут отчислить?,"Основания для отчисления из университета:
1. Академическая неуспеваемость:
   Несдача зачёта или экзамена на повторной комиссии (третья попытка)
2. Дисциплинарные нарушения:
   Серьёзные нарушения Устава МГУ или Этического кодекса."
Обучение,Что делать в случае болезни?,"Порядок оформления пропуска занятий

В первый день заболевания необходимо обратиться в медицинское учреждение (поликлинику);
После выздоровления получить официальную медицинскую справку, подтверждающую период нетрудоспособности;
Предоставить справку инспектору курса в учебной части факультета в течение 3 рабочих дней после выхода на занятия."
Обучение,Как происходит распределение по кафедрам?,"Основные этапы (для 2-го курса)
Подготовительный этап
— Кафедры объявляют количество доступных мест.
— Публикуется официальный список кафедр с квотами и требованиями.
Подача заявлений
— Студенты выбирают до 3-х приоритетных кафедр.
— Заявления подаются в электронном виде через портал факультета в строго установленный период.
Отбор кафедрами
— Кафедры проводят собеседования/тестирование.
— Учитываются:
• Академическая успеваемость (особенно по профильным предметам)
• Научная активность (курсовые, публикации, конкурсы)
• Результаты собеседования.
Дополнительный этап
— Для не прошедших отбор на основном этапе.
— Повторная подача заявлений на кафедры с оставшимися местами.
Финальное распределение
— Утверждение списков деканатом.
— Студенты, не прошедшие отбор, распределяются учебным отделом принудительно."
Обучение,Как получить зачет?,"Большинство преподавателей охотно ставят зачёт по результатам работы в семестре.
Критерии обычно включают:

Активную работу на семинарах;
Своевременное выполнение домашних заданий;
Успешное написание контрольных работ;
Это наиболее надёжный и комфортный вариант.

Практические советы:

Не упускайте возможность получить зачёт в течение семестре;
Регулярно работайте и демонстрируйте свои знания;
Уточняйте требования конкретного преподавателя.

Общий зачёт стоит рассматривать лишь как крайнюю меру."
Обучение,Как скачать ORIGIN?,"Заходите на оф сайт ориджина. Сверху справа есть красная кнопка попробовать ориджин, нажимаем её, дальше надо выбрать student, на следующей странице выбираете учебное издание, которое на 6 месяцев, дальше вводите свои данные. В ячейках пишите на английском МГУ и физфак; адрес эл почты тот, что вам сегодня должны были дать, который @physics.msu.ru, либо если у вас есть my.msu.ru, по обычной почте не получится, так как это именно учебная версия.

Ссылка на официальный сайт: https://www.originlab.com"
Общежитие,Когда начнётся заселение в общежитие?,В этом учебном году заселение в общежитие начнётся с 26 августа.
Инфраструктура и другие вопросы,Столовые,"На физическом факультете есть 3 столовые (одна на втором этаже и две на цокольном), а также кофейня на цокольном этаже (Кофепорт).
График работы столовых:
2 этаж, пн-пт 09:00 – 18:00.                                                           
0 этаж, пн-пт 08:00 —18:00, сб 09:00 —17:00 
График работы кофепорта:
пн-сб 8:30-19:00.
Сумма чека довольно индивидуальна, но в среднем стоимость одного обеда обходится в 300-400 рублей."
Обучение,Какие существуют центральные секции и как проходит отбор?,Подробно обо всех существующих в МГУ Центральных секциях можно прочесть на официальном сайте: https://sportmsu.ru/sections
Обучение,Какие языки программирования изучаются на физическом факультете?,"На первом курсе изучаются С и С++. На втором курсе Python или одно из альтернативных направлений. Также почти на каждой кафедре отдельно изучаются языки/среды программирования, которые нужны для научной работы в конкретной области."
Обучение,Особенности обучения на совместной программы с МГУ г. Саров,"На этой программе готовят специалистов по теоретической физике для «Росатома». 
Программа ориентирована на изучение фундаментальных и прикладных проблем, которые находятся на переднем крае научно-технологического прогресса и решаются в российских ядерных центрах. Программа включает прохождение практик в научных группах физического факультета МГУ, НИИЯФ имени Д.В. Скобельцына МГУ, институтов РАН и организаций атомной отрасли по научным тематикам Национального центра физики и математики.
Студентов ожидают поездки в технические туры на предприятия Росатома, летние стажировки в новых лабораториях НЦФМ и РФЯЦ-ВНИИЭФ, специальные курсы и гостевые лекции членов Российской академии наук и руководства атомной отрасли.
 Первые четыре года обучение будет проходить в Москве, заключительные два года – в филиале МГУ имени М.В. Ломоносова в городе Сарове. Студенты получают стипендию от «Росатома». Эта стипендия платится при условии наличия государственной академической стипендии (при учёбе без троек и пересдач). С каждым курсом стипендия от «Росатома» увеличивается в размерах. 
 Рабочий план программы"
Стипендии и выплаты,Стипендия для студентов совместной программы с филиалом МГУ в г. Саров,"Стипендия выплачивается «Росатомом» при учёбе на бюджете без троек и пересдач.
Размер стипендии составляет:
10 000 рублей - на 1 курсе;
20 000 рублей - на 2 курсе;
30 000 рублей - на 3 курсе;
40 000 рублей - на 4 курсе;
50 000 рублей - на 5 курсе;
60 000 рублей - на 6 курсе."
Обучение,Что такое военная кафедра?,"Военная кафедра – это замена срочной службе.
После успешного окончания ВУЦ выдаётся военный билет с отметкой «запас» (не нужно служить по призыву).
В МГУ есть военная кафедра, на физфак выделяется около 40 мест для получения звания солдат запаса (обучение 1,5 года, начиная с 3 курса) и порядка 5-10 мест для звания сержант запаса (обучение длится 2 года, начиная с 3 курса), а также около 60 мест для присвоения звания лейтенант (учиться надо 2,5 года).
Занимает военная кафедра по одному дню в неделю, потом – военные сборы летом на месяц.
Конкурс на военную кафедру составляет обычно 2 человека на место. Чтобы вас взяли на военную кафедру средний балл должен быть выше 3,5 за 2 курса, также нужно сдать некоторые нормативы."
Обучение,Что такое ВВХ?,"ВВХ - это группа ВКонтакте ""от студентов для студентов"", предназначенная для успешного освоения образовательных программ.
В группе можно найти полезную информацию: 
1) о различных межфакультетских курсах (МФК), собранную в формате отзывов от студентов, прошедших данные программы.
2) о кафедрах МГУ, выбрать одну из которых предстоит каждому студенту в конце 2 курса (О том, как поступить, что нужно знать, какие ошибки не совершать, отзывы о преподавателях и многое другое).
3) о дополнительных материалах, например, можно найти расписанные билеты, учебники, ссылки на лекции различных преподавателей и тому подобное.
4) о научных руководителях.
И многое другое...
Ссылка на группу ВК: https://vk.com/ff_pomoch
Чтобы вступить в группу, нужно отправить в личные сообщения сообщества фотографию своего студенческого билета."
Обучение,Можно переводиться между кафедрами?,"Да, перевод между кафедрами возможен в соответствии с внутренними регламентами факультета. Для этого необходимо согласовать перевод с текущим и будущим научными руководителями, подать заявление о переводе в учебную часть, а также учесть академические требования для перевода, например, успеваемость, специфику учебного плана, академическую разницу."
Обучение,Кто такой староста? Что входит в его обязанности и как проходят выборы?,"В каждой учебной группе решением студенческого коллектива группы избирается староста. По сути староста это звено между учебной частью и академической группой. Её избирает группа путём голосования.

В обязанности старосты группы входят: 
а) персональный учёт посещения студентами всех видов учебных занятий; 
б) представление в учебную часть факультета сведений о неявке студентов на занятия с указанием причин; 
в) обеспечение учебной дисциплины в группе на лекциях и практических занятиях; 
г) организация получения и распределения среди студентов группы учебников и учебных пособий; 
д) извещение студентов об изменениях, вносимых в расписание занятий группы; 
е) оперативное извещение учебной части о неявке на занятия преподавателя. 

Распоряжения старосты в пределах указанных выше функций обязательны для всех студентов группы. В каждой группе ведётся журнал учёта посещения занятий студентами установленной формы, который хранится у старосты и еженедельно сдаётся 
инспектору курса.  

Староста в каждом семестре получает прибавку в размере около 2 тысяч."
Академический отпуск,Что такое академический отпуск?,Академический отпуск — это временное приостановление обучения в ВУЗе или колледже на определённый срок с сохранением места за студентом.
Инфраструктура и другие вопросы,Часы работы главного корпуса физического факультета,"Вход в здание:
Пн-Сб: 8:00–20:00 (выход до 22:00)
Вс: выходной"
Учебная часть,График работы учебного отдела,"Учебный отдел работает с 8:45 до 17:00 (каб. 2-38)
Часы приёма инспекторов курса: с 8:45 до 11:00, с 12:00 до 13:15, с 14:15 до 17:00."
